hhold_ID,est_net_worth,est_inc,domestic,number_visits,number_children,oldest_child_age,dis_plus_sub,online_merch_avg,est_annual_travel,est_annual_leisure,est_hhold_FICO
1,7525,7825,1,0,2,9.0,0,826.0,2309.0,4094.0,701
2,639815,449775,1,1,2,11.0,0,1779.0,9060.0,8670.0,764
3,288847,204750,1,6,3,13.0,1,2121.0,6436.0,5021.0,720
4,191791,136730,1,1,1,8.0,1,1880.0,13107.0,66074.0,783
5,96527,72165,0,3,0,,0,775.0,2042.0,2846.0,757
6,2435034,1705830,1,7,2,14.0,1,1900.0,29674.0,32412.0,780
7,331,4110,1,0,2,10.0,0,795.0,5209.0,1891.0,761
8,21493,17590,1,0,1,13.0,1,761.0,1494.0,2485.0,746
9,28620,25550,1,5,0,,1,761.0,1005.0,2420.0,794
10,66064,44345,1,1,2,12.0,0,799.0,1559.0,2402.0,768
11,1700729,1192325,1,1,4,12.0,1,1829.0,17263.0,22838.0,754
12,781715,549760,1,3,1,14.0,1,1822.0,9650.0,10787.0,750
13,23824,19990,0,3,2,14.0,0,827.0,1285.0,963.0,777
14,1321675,927075,0,5,3,11.0,1,2300.0,19772.0,18598.0,755
15,422755,297915,0,1,3,13.0,1,1779.0,5913.0,6295.0,779
16,45354,72370,1,1,3,13.0,1,772.0,2318.0,1480.0,785
17,408152,287245,1,1,1,11.0,1,1726.0,5833.0,5809.0,761
18,41289,30840,1,2,2,13.0,1,748.0,1215.0,1577.0,746
19,14809,10750,1,6,0,,1,728.0,1093.0,1891.0,761
20,3931018,2752680,1,0,3,11.0,1,1788.0,18394.0,51530.0,790
21,13063,285000,0,4,0,,1,1676.0,21910.0,31893.0,764
22,122581,91820,1,1,2,11.0,0,842.0,4087.0,4140.0,780
23,9411,9165,1,0,2,11.0,0,761.0,1215.0,1891.0,744
24,153960,110690,1,0,2,14.0,0,756.0,2709.0,3717.0,751
25,453969,320755,1,8,1,9.0,1,1783.0,5767.0,7053.0,754
26,178781,128705,1,0,1,10.0,0,1816.0,27961.0,2632.0,708
27,63962,32555,1,1,2,14.0,0,830.0,1215.0,3710.0,763
28,928961,647400,0,3,4,10.0,1,2187.0,16666.0,12948.0,775
29,39622,28960,1,5,3,10.0,1,1053.0,3802.0,2645.0,731
30,163831,117560,1,7,2,12.0,1,743.0,1215.0,5084.0,768
31,58644,44320,1,4,3,11.0,1,832.0,5276.0,3338.0,768
32,69543,51710,1,9,3,8.0,1,856.0,4559.0,3107.0,722
33,627220,440480,0,0,3,12.0,1,1712.0,9120.0,11570.0,742
34,12103,8290,1,0,2,12.0,0,737.0,1233.0,322.0,722
35,15853,14920,1,2,0,,0,813.0,454.0,1073.0,754
36,338889,241155,0,0,2,11.0,1,1703.0,4819.0,4927.0,749
37,209139,144535,0,1,2,16.0,1,1694.0,3002.0,3203.0,753
38,3830635,2681805,1,4,3,10.0,1,2031.0,18641.0,51982.0,727
39,8150619,1966550,1,2,2,12.0,0,1818.0,375.0,34372.0,745
40,884183,619080,1,2,1,15.0,1,1726.0,12119.0,12551.0,697
41,158555,113560,1,1,1,12.0,1,817.0,2989.0,7710.0,750
42,1130218,794315,0,10,2,10.0,1,1832.0,14874.0,15223.0,730
43,322328,227190,0,4,1,12.0,1,1816.0,3500.0,5162.0,767
44,85605,59455,1,2,4,13.0,1,783.0,2138.0,2300.0,773
45,62386,46590,1,3,3,10.0,1,1021.0,5461.0,3427.0,753
46,155703,110555,0,1,2,11.0,0,769.0,13.0,3490.0,774
47,7874,8700,1,0,3,13.0,0,820.0,1650.0,839.0,711
48,97027,70895,1,2,4,11.0,0,781.0,5197.0,1309.0,762
49,952420,660340,1,1,3,15.0,1,1781.0,9435.0,13125.0,778
50,453923,320565,1,3,4,10.0,1,2114.0,8971.0,7466.0,754
51,272062,193710,1,2,2,7.0,1,1799.0,4387.0,5509.0,763
52,7139029,4995020,1,0,0,,1,1758.0,33379.0,29213.0,754
53,93432,67460,1,6,4,9.0,1,857.0,5462.0,1417.0,747
54,105460,78025,1,2,2,8.0,0,742.0,2891.0,37006.0,775
55,104439,76440,1,3,2,11.0,0,787.0,1582.0,2762.0,710
56,61966,45645,1,1,1,10.0,1,761.0,2514.0,991.0,785
57,110153,80010,1,1,3,10.0,0,751.0,12492.0,2848.0,751
58,29110,23605,1,2,1,8.0,0,784.0,283.0,1106.0,718
59,5179020,3623545,1,8,3,14.0,1,2231.0,24612.0,69726.0,761
60,454332,320700,0,1,3,14.0,0,1829.0,6515.0,6693.0,784
61,2563763,1795710,1,10,4,13.0,1,2077.0,35967.0,34763.0,742
62,175336,125340,1,3,2,11.0,1,1726.0,3080.0,3115.0,751
63,467785,331325,1,3,3,10.0,1,1857.0,9636.0,7841.0,758
64,14258,13415,1,3,4,17.0,0,807.0,4173.0,2304.0,758
65,469734,331370,1,3,2,13.0,1,1779.0,7290.0,6208.0,767
66,177758,127365,1,6,3,11.0,1,2676.0,9739.0,4281.0,769
67,1573047,441167,1,1,3,9.0,1,1809.0,1085.0,994.0,770
68,216843,155175,0,1,2,13.0,0,1868.0,3774.0,3464.0,741
69,3301215,2317615,1,1,2,12.0,1,1832.0,42517.0,42678.0,795
70,5765031,4034725,1,4,2,13.0,1,1811.0,26523.0,23893.0,754
71,807879,568755,0,0,2,17.0,1,1804.0,11683.0,10802.0,725
72,64567,47815,0,3,2,10.0,0,763.0,1215.0,2267.0,785
73,518965,366330,1,0,3,11.0,1,1855.0,8969.0,7704.0,750
74,486249,343415,0,0,3,9.0,1,1751.0,7284.0,6834.0,775
75,224767,160205,1,1,1,5.0,1,1848.0,3278.0,3850.0,813
76,108548,78655,1,5,2,8.0,0,784.0,2377.0,7366.0,743
77,1399826,984035,1,11,2,13.0,1,1884.0,18886.0,18767.0,777
78,446306,314780,1,1,2,16.0,1,1715.0,6868.0,6127.0,765
79,217569,155265,0,1,1,15.0,1,1825.0,872.0,3248.0,749
80,20679,18285,1,5,2,15.0,1,791.0,1562.0,1348.0,712
81,1779637,1246980,1,10,0,,1,1760.0,23766.0,23741.0,793
82,19642,16775,1,18,2,10.0,0,764.0,1117.0,1216.0,748
83,295864,210395,1,2,3,13.0,1,1788.0,4506.0,3529.0,696
84,262662,186610,0,1,3,15.0,1,1756.0,4444.0,4681.0,758
85,1028811,723340,0,1,2,11.0,1,1765.0,14192.0,14189.0,795
86,15951,13590,1,5,3,11.0,1,865.0,4144.0,1500.0,766
87,1134211,796135,1,3,4,15.0,1,2348.0,17842.0,17590.0,790
88,409300,289330,0,2,1,14.0,1,1806.0,5230.0,5955.0,759
89,57637,44390,1,7,1,16.0,0,792.0,3645.0,1900.0,784
90,199570,142710,1,1,2,14.0,1,1774.0,8192.0,2371.0,713
91,2154453,1509420,1,3,2,13.0,0,1740.0,28689.0,28614.0,783
92,1842088,1291245,1,2,2,8.0,0,1740.0,24179.0,24625.0,746
93,1028159,721835,1,3,2,12.0,1,1956.0,13862.0,14752.0,696
94,1966020,1375825,1,1,0,,1,1896.0,38963.0,26946.0,770
95,14151,13045,1,4,1,12.0,1,795.0,1073.0,1511.0,741
96,352344,252235,1,0,2,12.0,0,1650.0,6857.0,5016.0,739
97,181161,129855,0,3,2,11.0,1,1659.0,8180.0,2867.0,742
98,1106894,777785,0,1,0,,0,1926.0,15061.0,15487.0,715
99,142408,102040,0,2,3,13.0,0,777.0,1020.0,18976.0,784
100,10128,10215,1,4,3,12.0,1,846.0,2941.0,5224.0,781
101,564690,399705,1,1,2,11.0,0,1717.0,5881.0,6987.0,762
102,1539177,1079090,1,0,0,,1,1760.0,20197.0,20632.0,749
103,80180,64855,1,2,1,15.0,1,779.0,392.0,2475.0,789
104,123812,89385,0,3,2,9.0,0,783.0,2305.0,4600.0,794
105,563543,396395,1,1,1,11.0,0,1749.0,7509.0,7755.0,688
106,4876,5555,0,1,3,14.0,1,768.0,642.0,1696.0,718
107,246020,174900,1,4,5,14.0,1,2362.0,5741.0,6601.0,763
108,35010,27540,1,15,2,16.0,1,751.0,625.0,2024.0,751
109,28931,23370,1,2,3,13.0,0,777.0,1886.0,1094.0,787
110,1732017,1227365,1,0,3,13.0,0,1712.0,23365.0,23061.0,738
111,11945,11750,1,1,2,12.0,0,748.0,1749.0,908.0,754
112,19894,16580,0,16,2,12.0,0,770.0,1215.0,1057.0,797
113,331984,235195,1,1,1,11.0,0,1939.0,8121.0,4834.0,774
114,1176243,825320,1,1,3,13.0,0,1797.0,15622.0,16280.0,729
115,4711312,3297770,1,2,2,12.0,1,1703.0,21868.0,62539.0,779
116,54613,36490,0,0,2,11.0,1,771.0,569.0,190.0,790
117,11265,10640,1,1,2,10.0,0,730.0,1813.0,1052.0,793
118,82940,61085,0,0,1,13.0,0,796.0,2266.0,2672.0,796
119,970812,680885,0,2,1,11.0,1,1843.0,13492.0,13206.0,743
120,294542,209595,0,1,2,12.0,1,1816.0,5070.0,4553.0,780
121,762141,536985,0,5,1,9.0,0,1838.0,10207.0,10426.0,768
122,1293983,908725,1,1,4,16.0,1,1836.0,18753.0,16923.0,759
123,432150,305560,1,6,3,11.0,1,2584.0,8277.0,42151.0,755
124,12207,10860,0,5,2,12.0,0,761.0,990.0,1843.0,743
125,317412,226235,1,0,3,11.0,1,1786.0,4997.0,4674.0,780
126,64918,48835,0,7,2,8.0,0,801.0,1666.0,5645.0,740
127,17097,15455,1,1,2,13.0,1,780.0,557.0,108.0,782
128,269281,191845,1,1,2,14.0,0,1692.0,3793.0,5258.0,738
129,121801,88290,1,2,2,11.0,1,743.0,2972.0,3543.0,773
130,169897,122115,0,1,5,6.0,0,771.0,38344.0,28524.0,740
131,532611,375235,1,2,3,9.0,0,1857.0,7458.0,8087.0,753
132,981597,689065,1,0,3,13.0,0,1884.0,14486.0,13523.0,748
133,1723121,483430,1,1,2,13.0,1,1845.0,1175.0,1082.0,739
134,1844893,1293185,1,1,1,13.0,1,1795.0,23400.0,24638.0,712
135,167179,119440,1,1,2,9.0,1,767.0,4349.0,4080.0,762
136,93222,66285,1,1,2,14.0,0,764.0,1215.0,2263.0,770
137,157985,113800,1,6,3,12.0,1,1050.0,6660.0,4689.0,783
138,91492,67425,0,4,3,18.0,1,841.0,5112.0,4053.0,760
139,35085,27285,1,3,2,15.0,0,771.0,1250.0,1891.0,766
140,90496,65975,0,2,2,9.0,1,799.0,1950.0,3012.0,748
141,95848,70620,1,2,2,16.0,1,768.0,2656.0,4264.0,798
142,123828,88895,1,5,2,16.0,1,749.0,2357.0,3174.0,736
143,411107,290645,1,1,4,13.0,1,1825.0,6866.0,5850.0,764
144,177606,127660,1,2,2,13.0,1,1850.0,1947.0,3614.0,776
145,2451518,1713195,0,9,1,12.0,0,1889.0,30512.0,32557.0,758
146,63991,48610,1,0,1,12.0,0,799.0,2010.0,138.0,807
147,35068,27250,1,1,2,10.0,0,812.0,2665.0,1598.0,774
148,105152,77825,0,2,0,,0,812.0,1968.0,2276.0,738
149,25772,21560,1,6,2,12.0,0,801.0,1340.0,2009.0,707
150,3320,6325,1,6,0,,1,774.0,232.0,1126.0,722
151,197689,140700,1,1,4,16.0,1,1772.0,3793.0,3145.0,792
152,9007,8915,1,1,2,7.0,0,794.0,2813.0,305.0,760
153,940902,659140,1,0,1,12.0,1,1760.0,14814.0,12205.0,736
154,11743,11235,1,4,3,16.0,1,1081.0,3617.0,1410.0,756
155,102497,75165,0,0,2,9.0,1,749.0,1700.0,3250.0,761
156,70987,53830,1,4,3,11.0,0,845.0,4463.0,3294.0,760
157,59936,43935,1,1,0,,0,786.0,1852.0,1891.0,722
158,596723,428835,0,0,2,11.0,1,1751.0,8166.0,8526.0,744
159,504616,356670,0,1,2,10.0,0,1868.0,8243.0,8568.0,725
160,1608270,1128035,1,1,1,11.0,1,1708.0,20485.0,21898.0,719
161,377178,266810,0,2,4,10.0,1,1866.0,4482.0,5300.0,780
162,47242,36095,1,4,0,,0,755.0,2707.0,2439.0,770
163,1303820,914185,1,3,1,10.0,1,1788.0,16995.0,17643.0,771
164,312287,222240,1,1,2,10.0,1,1834.0,6281.0,4644.0,779
165,50246,39270,1,4,0,,1,758.0,2927.0,2017.0,769
166,74902,55450,1,1,1,13.0,0,807.0,2583.0,2239.0,750
